name,title,company,source
"Aditya SoniFounder & CEO, CheQ",Aditya Soni,,scraped_techsparks2024
"Pratyush Kumar PandaSectoral expert ESG (CSR and Sustainability), Founder Basudev Panda Foundation",Pratyush Kumar Panda,,scraped_techsparks2024
"Raghav GuptaFounder & CEO, Futurense Technologies",Raghav Gupta,,scraped_techsparks2024
"Shashi KumarFounder & CEO, Akshayakalpa Organic",Shashi Kumar,,scraped_techsparks2024
"Ridhi Kanoria DoongurseeCo-founder, Director, LXME",Ridhi Kanoria Doongursee,,scraped_techsparks2024
"Sumit GuptaBuilder & Founder, CoinDCX",Sumit Gupta,,scraped_techsparks2024
"Dimple SadhwaniCo-founder, PrivateBlok",Dimple Sadhwani,,scraped_techsparks2024
"Mohit KhuranaCo-founder & CEO, Uni Seoul",Mohit Khurana,,scraped_techsparks2024
"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,scraped_techsparks2024
"Nidhi GuptaHead of Product - Payments, PhonePe",Nidhi Gupta,,scraped_techsparks2024
"Achyutha SharmaDesign & User research Expert, Dvara Research",Achyutha Sharma,,scraped_techsparks2024
"Mayank VishwakarmaDirector - Customer Success and Presales, primeNumber",Mayank Vishwakarma,,scraped_techsparks2024
"Poorvi VijayVice President, Elevation Capital",Poorvi Vijay,,scraped_techsparks2024
"Takashi SuzukiChief director general, JETRO",Takashi Suzuki,,scraped_techsparks2024
"Varun BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Varun Bajaj,,scraped_techsparks2024
"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,scraped_techsparks2024
